Dorm,Quality,HotspotFrequency,HotspotUse,Problem,TechCenter,Inhibit,DataPlan,Locations
Day student,3,Never,I do not use hotspots,The speed of the wifi,Yes,Sometimes,No,Working on my laptop 
Day student,2,Rarely,Yes,The speed of the wifi,No,Always,Yes,The library
George,3,Rarely,Yes,Connecting to the wifi,No,Sometimes,Yes,Class
Day student,2,Rarely,Yes,The speed of the wifi,Yes,Sometimes,Yes,Hodgson or student center 
,2,Often,I use hotspots for other reasons,Connecting to the wifi,No,Sometimes,Yes,Bellingrath
Jane,2,Often,Yes,Connecting to the wifi,No,Always,Yes,dorm
Coit,2,Never,I do not use hotspots,Connecting to the wifi,Yes,Often,Yes,In the clasroom or in the library
Day student,1,Never,I do not use hotspots,The speed of the wifi,Yes,Often,Yes,Hodgeson
Coit,3,Never,I do not use hotspots,Connecting to the wifi,Yes,Sometimes,No,A&T
Bellingrath,2,Occasionally,I do not use hotspots,Connecting to the wifi,No,Sometimes,Yes,Dorm
Jane,2,Rarely,Yes,Connecting to the wifi,Yes,Often,I don't have access to cellular data.,In the dorm
Coit,2,Often,Yes,Connecting to the wifi,Yes,Always,No,Dorm. TV Room.
Day student,3,Rarely,I do not use hotspots,Connecting to the wifi,No,Sometimes,No,In the library or at the A&T. 
Jane,1,Never,I do not use hotspots,Connecting to the wifi,Yes,Always,No,hodgsons hall
Coit,1,Often,Yes,The speed of the wifi,Yes,Always,No,Classrooms?
Irene,3,Occasionally,Yes,Connecting to the wifi,Yes,Always,Yes,hight school and a&t
Jane,1,Often,Yes,Connecting to the wifi,Yes,Often,No,Hodgson Hall
Ernest,3,I do not have a phone,Yes,Connecting to the wifi,Yes,Sometimes,I don't have access to cellular data.,Dorm
Day student,2,Rarely,Yes,Connecting to the wifi,Yes,Often,Yes,Hodgson 
Jane,2,Occasionally,I use hotspots for other reasons,The speed of the wifi,Yes,Sometimes,Yes,"School, dorm"
Bellingrath,3,Rarely,I do not use hotspots,The speed of the wifi,Yes,Often,Yes,Dorm
Jane,3,Occasionally,No,Connecting to the wifi,No,Often,No,
Jane,2,Occasionally,Yes,Connecting to the wifi,No,Often,No,Classrooms
George,4,Occasionally,I use hotspots for other reasons,Connecting to the wifi,No,Sometimes,Yes,A&T / Dorm
George,2,Never,I do not use hotspots,The speed of the wifi,Yes,Always,No,a&t
Ernest,3,Occasionally,Yes,Connecting to the wifi,Yes,Sometimes,Yes,A n t
Day student,4,Rarely,Yes,I do not have any problems,No,Rarely,Yes,Hodgson Hall
Jane,2,Often,Yes,Connecting to the wifi,Yes,Often,No,Class room
Jane,1,Often,Yes,Connecting to the wifi,Yes,Often,No,Hodgson hall
Irene,2,Occasionally,Yes,Connecting to the wifi,No,Sometimes,Yes,Hodgson
Coit,2,Occasionally,I use hotspots for other reasons,The speed of the wifi,No,Often,No,School
Day student,1,Never,I do not use hotspots,Connecting to the wifi,Yes,Sometimes,Yes,In class
Day student,3,Occasionally,Yes,The speed of the wifi,No,Sometimes,Yes,Highschool and a&t
George,2,Rarely,Yes,The speed of the wifi,No,Often,Yes,school and dorm
Day student,1,Never,I do not use hotspots,Connecting to the wifi,Yes,Sometimes,No,High School
Irene,1,Often,Yes,Connecting to the wifi,Yes,Always,No,School and dorm
Coit,3,Rarely,Yes,Connecting to the wifi,Yes,Sometimes,Yes,A&t
Irene,1,Often,Yes,Connecting to the wifi,Yes,Always,No,School
Jane,1,Occasionally,Yes,Connecting to the wifi,Yes,Always,No,dorm and high school 
George,2,I do not have a phone,I do not use hotspots,Connecting to the wifi,Yes,Often,I don't have access to cellular data.,Everywhere 
George,4,Rarely,Yes,I do not have any problems,No,Sometimes,Yes,George dorm
Bellingrath,1,Often,Yes,Connecting to the wifi,Yes,Always,No,Class
Day student,2,Often,Yes,Connecting to the wifi,Yes,Often,No,Library 
Bellingrath,2,Never,I use hotspots for other reasons,Connecting to the wifi,Yes,Often,I don't have access to cellular data.,Dorm
Bellingrath,2,Occasionally,Yes,Connecting to the wifi,No,Sometimes,No,Hodgenson hall
Coit,2,Occasionally,Yes,The speed of the wifi,Yes,Always,Yes,Dorm
Coit,3,Often,No,Connecting to the wifi,No,Sometimes,No,Upper school 
Day student,3,Rarely,Yes,Connecting to the wifi,Yes,Sometimes,Yes,Hodgson Hall or Student Center
,2,Occasionally,I do not use hotspots,The speed of the wifi,Yes,Often,No,Teacher Learning Center
Coit,1,Often,I do not use hotspots,The speed of the wifi,Yes,Always,No,dorm
Bellingrath,1,Never,I do not use hotspots,The speed of the wifi,Yes,Always,No,
George,2,Often,Yes,Connecting to the wifi,Yes,Always,No,Hodgson
Day student,2,Never,I do not use hotspots,Connecting to the wifi,Yes,Always,Yes,Hodgson/ A&T
Day student,2,Occasionally,No,Connecting to the wifi,No,Rarely,Yes,Classes/Library
Jane,3,Rarely,Yes,Connecting to the wifi,Yes,Sometimes,No,the a&t
Irene,3,Often,I do not use hotspots,The speed of the wifi,No,Rarely,Yes,in class
Jane,3,Occasionally,Yes,Connecting to the wifi,Yes,Sometimes,No,dorm
Jane,3,Rarely,Yes,Connecting to the wifi,No,Sometimes,Yes,In class
George,3,Often,I use hotspots for other reasons,The speed of the wifi,Yes,Often,No,hodgson
Coit,1,Often,Yes,The speed of the wifi,Yes,Sometimes,Yes,The dorm
Jane,2,Often,Yes,Connecting to the wifi,Yes,Often,No,dorm
Day student,4,Rarely,Yes,Connecting to the wifi,Yes,Often,Yes,Class
Ernest,3,Occasionally,I do not use hotspots,Connecting to the wifi,Yes,Sometimes,Yes,Hodson hall
Coit,4,Rarely,I use hotspots for other reasons,The speed of the wifi,No,Sometimes,Yes,Hodgeson
Jane,3,Often,Yes,Connecting to the wifi,No,Often,No,dorm
Day student,3,Never,I do not use hotspots,Connecting to the wifi,Yes,Never,I don't have access to cellular data.,Library
Day student,3,Never,I do not use hotspots,The speed of the wifi,No,Often,Yes,Classes - Hodgson 
Coit,1,Occasionally,I use hotspots for other reasons,The speed of the wifi,Yes,Often,Yes,"Classes, student center"
Jane,2,Often,Yes,Connecting to the wifi,No,Often,No,Dorm
Day student,3,Never,I do not use hotspots,Connecting to the wifi,Yes,Always,No,Class
Day student,2,Often,Yes,Connecting to the wifi,Yes,Often,No,Hodgision hall
Jane,1,Occasionally,Yes,Connecting to the wifi,Yes,Often,No,Hodgson Hall
Ernest,4,Occasionally,Yes,Connecting to the wifi,No,Always,Yes,Dorm
Coit,1,Never,I do not use hotspots,Connecting to the wifi,Yes,Always,I don't have access to cellular data.,Coit
Ernest,3,Never,I do not use hotspots,The speed of the wifi,Yes,Sometimes,No,In the highschool
Bellingrath,1,Often,I use hotspots for other reasons,Connecting to the wifi,Yes,Always,No,Bellingrath
Jane,3,Never,I do not use hotspots,Connecting to the wifi,No,Rarely,No,A&T Building
Anderson,3,I do not have a phone,I do not use hotspots,The speed of the wifi,Yes,Often,I don't have access to cellular data.,Classroom 
Coit,2,Occasionally,No,Connecting to the wifi,No,Often,Yes,Dorm
Day student,4,Rarely,Yes,I do not have any problems,Yes,Sometimes,Yes,Hodgson Hall 
Day student,1,Often,Yes,Connecting to the wifi,Yes,Always,Yes,"TLC, Hodgeson hall, a and t"
,2,Never,I do not use hotspots,Connecting to the wifi,No,Often,I don't have access to cellular data.,"Dorm, Student Center, Classroom"
Bellingrath,2,Never,I do not use hotspots,Connecting to the wifi,Yes,Often,I don't have access to cellular data.,dorn
George,3,Occasionally,I use hotspots for other reasons,The speed of the wifi,No,Sometimes,No,Hodgson hall
Day student,2,Never,I do not use hotspots,Connecting to the wifi,No,Sometimes,Yes,SC/Library
Coit,2,Never,I do not use hotspots,The speed of the wifi,Yes,Sometimes,No,at hodgson
Coit,2,Occasionally,Yes,Connecting to the wifi,Yes,Often,Yes,class
Irene,4,Rarely,I do not use hotspots,Connecting to the wifi,Yes,Sometimes,Yes,dorm
Day student,1,Never,I do not use hotspots,Connecting to the wifi,No,Sometimes,No,In class
Day student,3,Rarely,Yes,The speed of the wifi,Yes,Always,Yes,A&T
Coit,1,Occasionally,Yes,Connecting to the wifi,Yes,Always,Yes,At school
Day student,2,Rarely,I do not use hotspots,Connecting to the wifi,Yes,Often,Yes,The A&T
Irene,1,Never,I do not use hotspots,Connecting to the wifi,No,Always,No,
Coit,3,Never,I do not use hotspots,The speed of the wifi,No,Sometimes,No,Hogdson Hall
Day student,2,Rarely,Yes,The speed of the wifi,No,Often,No,High school
Bellingrath,2,Never,No,Connecting to the wifi,Yes,Often,No,yes
Day student,3,Rarely,I do not use hotspots,The speed of the wifi,No,Rarely,No,In classrooms and in the library.
Bellingrath,3,Never,I do not use hotspots,The speed of the wifi,No,Sometimes,Yes,Hodgson
